Name,Type,Stack,Floatable?,Acquisition,Rating
Hot Cocoa,Food,40,Yes,Dropped by Mobs during Winter's Feast,
Hot Dragon Chili Salad,Character-specific Item/Crock Pot Recipe,40,Yes,Crock Pot Food,
Hot Pumpkin,Food,40,Yes,Cooking,
Hound's Tooth,Crafting Item,40,Yes,"Dropped by Hounds, Hound Mounds and Vargs",
Houndius Shootius,Deployable Structure,40,No,Crafting,
Ice,Food,40,No,Mining Mini Glaciers,
Ice Cream,Crock Pot Recipe,40,Yes,Crock Pot Food,
Ice Cube,Hat/Dress Item,—,Yes,Crafting,
Ice Staff,Staff,—,Yes,Crafting,
Insulated Pack,Bag/Survival Item,—,Yes,Crafting,
Iridescent Gem,Misc. Item,40,Yes,Destroying a Moon Caller's Staff using a Deconstruction Staff,
Jellybeans,Crock Pot Recipe,40,Yes,Crock Pot Food,
Jelly Worm,Food,40,Yes,Giving certain items to the Pig King during Hallowed Nights,
Jerky,Food,20,Yes,Hang Meat on a Drying Rack,
Jet Feather,Crafting Item,40,Yes,"Dropped by Crow, Pengull and Buzzard",
Juicy Berries,Food,40,Yes,Picking Juicy Berry Bushes,
Juicy Berry Bush,Plantable,10,Yes,Dug up by Shovel,
Kabobs,Crock Pot Recipe,40,Yes,Crock Pot Food,
Killer Bee,Mob,20,Yes,Caught with a Bug Net,
Koalefant Trunk,Food/Crafting Item,20,Yes,Dropped by Koalefant,
Koalefant Trunk Steak,Food,20,Yes,Cooking,
Krampus Sack,Bag,—,Yes,Dropped by Krampus,
Lantern,Light Source,—,Yes,Crafting,
Lavae Egg,Dragonfly Young,—,No,Dropped by Dragonfly,
Lavae Tooth,Misc. Item,—,Yes,Place a Lavae Egg near a fire for 2 days,
Lava Pepper,Food,40,Yes,Giving certain items to the Pig King during Hallowed Nights,
Leafy Meat,Food,20,Yes,Harvesting a Lureplant and dropped by Grass Gekko,
Leaky Teacup,Trinket,40,Yes,Digging up Graves,
Lesser Glow Berry,Food,10,Yes,Picking Mysterious Plants and periodically produced by Forest Reanimated Skeleton,
Lichen,Food,40,Yes,Harvesting Cave Lichen,
Life Giving Amulet,Amulet,20,No,Crafting and Digging up Graves,
Light Bulb,Crafting Item/Light Source/Food,40,Yes,Picking a Light Flower and dropped by Slurper,
Living Log,Crafting Item,20,Yes,"Dropped by Treeguard, Totally Normal Tree or Poison Birchnut Tree",
Log,Crafting Item,20,Yes,"Chopping down trees, Mushtrees, or Cave Banana Trees, digging up tree stumps",
Log Suit,Armor,—,Yes,Crafting,
Lone Glove,Trinket,40,Yes,Obtained during Hallowed Nights,
Lucky Beast Body,Hat/Dress Item,—,Yes,"Craft it during Year of the Gobbler, Year of the Varg or Year of the Pig King",
Lucky Beast Head,Hat/Dress Item,—,Yes,"Craft it during Year of the Gobbler, Year of the Varg or Year of the Pig King",
Lucky Beast Tail,Hat/Dress Item,—,Yes,"Craft it during Year of the Gobbler, Year of the Varg or Year of the Pig King",
Lucky Cat Jar,Trinket,40,Yes,Digging up Graves,
Lucky Fan,Weapon,—,Yes,Craft it during Year of the Gobbler,
Lucky Gold Nugget,Crafting Item,20,No,"Obtained during Year of the Gobbler, Year of the Varg or Year of the Pig King",
Lucky Whistle,Misc. Item,—,Yes,Craft it during Year of the Varg,
Lucy the Axe,Character-specific Item/Tool/Weapon,—,Yes,Play as Woodie,
Luxury Axe,Tool/Weapon,—,Yes,Crafting,
Luxury Fan,Survival item,—,Yes,Crafting,
Lying Robot,Trinket,40,Yes,Digging up Graves,
Magiluminescence,Amulet,—,Yes,Crafting,
Magnificent Adornment (Ancient Fuelweaver),Winter Ornament,40,Yes,Dropped by Ancient Fuelweaver during Winter's Feast,
Magnificent Adornment (Antlion),Winter Ornament,40,Yes,Dropped by Antlion during Winter's Feast,
Magnificent Adornment (Blue Gem Deer),Winter Ornament,40,Yes,Dropped by blue Gem Deer during Winter's Feast,
Magnificent Adornment (Bearger),Winter Ornament,40,Yes,Dropped by Bearger during Winter's Feast,
Magnificent Adornment (Bee Queen),Winter Ornament,40,Yes,Dropped by Bee Queen during Winter's Feast,
Magnificent Adornment (Deerclops),Winter Ornament,40,Yes,Dropped by Deerclops during Winter's Feast,
Magnificent Adornment (Dragonfly),Winter Ornament,40,Yes,Dropped by Dragonfly during Winter's Feast,
Magnificent Adornment (Dragonfly),Winter Ornament,40,Yes,Dropped by Dragonfly during Winter's Feast,
Magnificent Adornment (Klaus),Winter Ornament,40,Yes,Dropped by Klaus during Winter's Feast,
Magnificent Adornment (Krampus),Winter Ornament,40,Yes,Dropped by Krampus during Winter's Feast,
Magnificent Adornment (Moose/Goose),Winter Ornament,40,Yes,Dropped by Moose/Goose during Winter's Feast,
Magnificent Adornment (Red Gem Deer),Winter Ornament,40,Yes,Dropped by red Gem Deer during Winter's Feast,
Magnificent Adornment (Toadstool),Winter Ornament,40,Yes,Dropped by Toadstool during Winter's Feast,
Mandrake,Mob/Food,40,Yes,"Picking a Mandrake at Day, dropped by deceased Mandrakes.",
Mandrake Soup,Crock Pot Recipe,40,Yes,Crock Pot Food,
Manure,Fertilizer,20,Yes,Periodically produced by Beefalos and Koalefants. Can be made by feeding vegetables to Pigs and angrying Splumonkeys. Can also by destroying Splumonkey Pods and Pig Torches,
Map Scroll,Misc. Item,—,Yes,Crafting,
Marble,Crafting Item,40,No,"Mining Marble Pillars, Marble Trees, Harp Statues, Maxwell Statues, Glommer's Statue, Marble Sculptures and Marble Statues, may fall from cave roof during Earthquakes, or appears when a Touch Stone breaks",
Marble Bean,Plantable,40,No,Crafting,
Marble Suit,Armor,—,Yes,Crafting,
Marsh Turf,Turf,10,Yes,Digging up ground in a Marsh with a Pitchfork,
Meat,Food,20,Yes,"Dropped by large mobs such as Pigs, Beefalo, etc.",
Meatballs,Crock Pot Recipe,40,Yes,Crock Pot Food,
Meaty Stew,Crock Pot Recipe,40,Yes,Crock Pot Food,
Melonsicle,Crock Pot Recipe,40,Yes,Crock Pot Food,
Melty Marbles,Trinket,40,Yes,Digging up Graves,
Miner Hat,Hat/Light Source,—,Yes,Crafting,
Mini Sign,Structure,10,Yes,Crafting,
Mismatched Buttons,Trinket,40,Yes,Digging up Graves,
Moggles,Hat,—,Yes,Crafting,
Moleworm,Mob,—,No,Catch with a Hammer,
Monkey Paw,Trinket,40,Yes,Obtained during Hallowed Nights,
Monster Jerky,Food,20,Yes,Hang Monster Meat on a Drying Rack,
Monster Lasagna,Crock Pot Recipe,40,Yes,Crock Pot Food,
Monster Meat,Food,20,Yes,"Dropped by many monsters, such as Hounds and Spiders",
Monster Tartare,Character-specific Item/Crock Pot Recipe,40,Yes,Crock Pot Food,
Moon Caller's Staff,Staff,—,Yes,Place a Star Caller's Staff on a Moon Stone during a Full Moon,
Moon Rock,Crafting Item,40,No,Mining Meteor Boulders and Suspicious Moonrocks,
Moon Rock Idol,Misc. Item,—,No,Crafting,
Moon Rock,Wall,20,No,Crafting,
Moqueca,Character-specific Item/Crock Pot Recipe,40,Yes,Crock Pot Food,
Morning Star,Melee Weapon,—,Yes,Crafting,
Morsel,Food,40,Yes,"Dropped by small animals such as Crows, Rabbits, etc.",
Mosquito,Mob,20,Yes,Caught with a Bug Net,
Mosquito Sack,Healing Item,20,Yes,Dropped by Mosquito,
Mud Turf,Turf,10,Yes,Found underground by digging up the ground in mud areas with a Pitchfork,
Napsack,Weapon,20,Yes,Crafting,
Night Armor,Armor/Magic Item,—,Yes,Crafting and dropped by level 3 Shadow Pieces,
Nightmare Fuel,Crafting Item,40,Yes,"Crafting, digging up graves, and appears when a Touch Stone breaks. It is also dropped by Shadow Creatures, Beardlings, Splumonkeys, Shadow Pieces and Reanimated Skeleton",
Nightmare Amulet,Amulet,—,Yes,Crafting,
Nitre,Crafting Item,40,No,"Mining Smooth Boulders, Stalagmites and Petrified Trees, digging up Burrows, may fall from cave roof during Earthquakes",
Not-So-Candy Corn,Food,40,Yes,Giving certain items to the Pig King during Hallowed Nights,
Odd Radio,Trinket,40,Yes,Obtained during Hallowed Nights,
On Tentacles,Character-specific Item/Book,—,Yes,Craft it while playing as Wickerbottom,
One-man Band,Magic Item,—,Yes,Crafting,
Onion,Food,40,Yes,Farming,
Opulent Pickaxe,Tool/Weapon,—,Yes,Crafting,
Orange Gem,Crafting Item,40,Yes,Mainly found by mining Ancient Statues in the Ruins,
Orange Moonlens,Misc. Item,—,Yes,Placing a Orange Gem in a Cratered Moonrock,
Otherworldly Jawbreaker,Food,40,Yes,Giving certain items to the Pig King during Hallowed Nights,
Pan Flute,Weapon/Magic Item,—,Yes,Crafting,
Papyrus,Crafting Item,20,Yes,Crafting,
Pepper,Food,40,Yes,Farming,
Petals,Food,40,Yes,Picking Flowers,
Phlegm,Food,40,Yes,Dropped by Ewecus,
Pickaxe,Tool/Weapon,—,Yes,Crafting,
Pick/Axe,Tool/Weapon,—,Yes,Crafting,
Pierogi,Crock Pot Recipe,40,Yes,Crock Pot Food,
Pig Skin,Food/Crafting Item,40,Yes,"Dropped by Pig, Guardian Pig, and Werepig, or by breaking Pig Heads with a Hammer",
Piggyback,Bag/Survival Item,—,Yes,Crafting,
Pile o' Balloons,Character-Specific Item,—,Yes,Craft it while playing as Wes,
Pine Cone,"Fuel, Tree Resource",40,Yes,Chopping down Evergreens,
Pitchfork,Tool/Weapon,—,Yes,Crafting,
Plum Pudding,Food,40,Yes,Dropped by Mobs during Winter's Feast,
Pomegranate,Food,40,Yes,Farming,
Pomegranate Seeds,Crop Seeds/Food/Plantable,40,Yes,Feeding a bird in a Bird Cage,
Popcorn,Food,40,Yes,Cooking,
Portable Crock Pot,Character-specific Item,—,Yes,Crafting,
Portable Grinding Mill,Character-specific Item,—,Yes,Crafting,
Portable Seasoning Station,Character-specific Item,—,Yes,Crafting,
Portal Paraphernalia,Misc. Item,—,Yes,Crafting,
Potato,Food,40,Yes,Farming,
Potato Cup,Trinket,40,Yes,Digging up Graves,
Powdercake,Crock Pot Recipe,40,Yes,Crock Pot Food,
Prepared Dragon Fruit,Food,40,Yes,Cooking,
Pretty Parasol,Survival Item/Weapon,—,Yes,Crafting,
Puffed Potato Soufflé,Character-specific Item/Crock Pot Recipe,40,Yes,Crock Pot Food,
Puffy Vest,Dress Item,—,Yes,Crafting,
Pumpkin,Food,20,Yes,Farming,
Pumpkin Seeds,Crop Seeds/Food/Plantable,40,Yes,Feeding a bird in a Bird Cage,
Pumpkin Cookie,Crock Pot Recipe,40,Yes,Crock Pot Food,
Pumpkin Lantern,Light Source,—,Yes,Crafting,
Purple Gem,Crafting Item,40,Yes,"Crafting, dropped by Clockwork Bishop, mining Ancient Statues and found in Cave Holes",
Purple Moonlens,Misc. Item,—,Yes,Placing a Purple Gem in a Cratered Moonrock,
Rabbit,Mob,—,Yes,Caught with a Trap,
Rabbit Earmuffs,Hat/Dress Item,—,Yes,Crafting,
Rain Coat,Dress Item,—,Yes,Crafting,
Rain Hat,Hat/Dress Item,—,Yes,Crafting,
Raisins,Food,40,Yes,Giving certain items to the Pig King during Hallowed Nights,
"""Raisins""",Food,40,Yes,Giving certain items to the Pig King during Hallowed Nights,
Rare Blueprint,Misc. Item,—,Yes,"Dropped by Dragonfly, Toadstool, Bee Queen and Antlion, destroying a Stagehand using a Hammer, and found in Loot Stash, Crumpled Package or Ancient Chest",
Ratatouille,Crock Pot Recipe,40,Yes,Crock Pot Food,
Razor,Tool,—,Yes,Crafting,
Red Cap,Food,40,Yes,"Dropped by Toadstool, picking a Red Mushroom or chopping down Red Mushtrees",
Red Firecrackers,Misc. Item,40,Yes,"Craft it during Year of the Gobbler, Year of the Varg or Year of the Pig King",
Red Funcap,Hat/Dress Item,—,Yes,Crafting,
Red Gem,Crafting Item,40,Yes,"Dropped by Red Hound and red Gem Deer, found in graves, and mining Stalagmites and Ancient Statues. This may fall from cave roof during Earthquakes",
Red Lantern,Light Source,—,Yes,"Craft it during Year of the Gobbler, Year of the Varg or Year of the Pig King",
Red Moonlens,Misc. Item,—,Yes,Placing a Red Gem in a Cratered Moonrock,
Red Pouch,Misc. Item,—,No,"Obtained during Year of the Gobbler, Year of the Varg or Year of the Pig King",
Red Spore,Plantable,20,Yes,Caught with a Bug Net,
Redbird,Mob,—,Yes,Caught with a Bird Trap,
Regal Shovel,Tool/Weapon,—,Yes,Crafting,
Roasted Berries,Food,40,Yes,Cooking,
Roasted Birchnut,Food,40,Yes,Cooking,
Roasted Carrot,Food,40,Yes,Cooking,
Roasted Garlic,Food,40,Yes,Cooking,
Roasted Juicy Berries,Food,40,Yes,Cooking,
Roasted Onion,Food,40,Yes,Cooking,
Roasted Pepper,Food,40,Yes,Cooking,
Roasted Potato,Food,40,Yes,Cooking,
Roasted Toma Root,Food,40,Yes,Cooking,
Rocks,Crafting Item,40,No,"Finding on the ground, mining Boulders, Stalagmites, Mini Glaciers or Petrified Trees, digging up Burrows, may fall from cave roof during Earthquakes, and dropped by Meteors, Rock Lobster, Antlion and frozen Lavae",
Rocky Turf,Turf,10,Yes,Digging up ground in Rockyland areas with a Pitchfork,
Rope,Crafting Item,10,Yes,Crafting,
Rot,Fertilizer/Food,40,Yes,"Letting perishables spoil, destroying Merm Heads using a Hammer, dropped by Volatile Canary, or obtained from diseased plants",
Rotten Egg,Food,40,Yes,Let an Egg spoil,
Royal Jelly,Food,40,Yes,Dropped by Bee Queen,
Saddle,Tool,—,Yes,Crafting,
Saddlehorn,Tool,—,Yes,Crafting,
Saffron Feather,Crafting Item,40,Yes,Dropped by Canary,
Salsa Fresca,Crock Pot Recipe,40,Yes,Crock Pot Food,
Sandy Turf,Turf,10,Yes,Digging up the ground in a Desert with a Pitchfork,
Sapling,Plantable,10,Yes,Dug up by Shovel,
Savanna Turf,Turf,10,Yes,Digging up the ground in a Savanna with a Pitchfork,
Scalemail,Armor,—,Yes,Crafting,
Scales,Crafting Item,10,Yes,Dropped by Dragonfly,
Scaled Flooring,Turf,10,Yes,Crafting,
Second-hand Dentures,Trinket,40,Yes,Digging up Graves,
Seeds,Food/Plantable,40,Yes,Left behind by birds,
Sewing Kit,Dress Item,—,Yes,Crafting,
Shadow Atrium,Misc. Item,—,Yes,Dropped by level 3 Shadow Pieces,
Shadow Thurible,Misc. Item,—,Yes,Dropped by Ancient Fuelweaver,
Shelmet,Hat/Armor,—,Yes,Dropped by Slurtles,
Shoe Horn,Trinket,40,Yes,Digging up Graves,
Shovel,Tool/Weapon,—,Yes,Crafting,
Shroom Skin,Crafting Item,10,Yes,Dropped by Toadstool,
Silk,Crafting Item,40,Yes,Dropped by Spiders and by destroying a Spider Den or Spilagmite,
Sketch,Misc. Item,—,Yes,"Dropped by Deerclops, Bearger, Moose/Goose and Dragonfly, mining a Maxwell Statue, mining a repaired Marble Statue during a [[Full Moon or New Moon, and giving certain items to the Pig King",
Sleep Dart,Weapon,20,Yes,Crafting,
Sleepytime Stories,Character-specific Item/Book,—,Yes,Craft it while playing as Wickerbottom,
Sliced Pomegranate,Food,40,Yes,Cooking,
Slimy Turf,Turf,10,Yes,Found underground by digging up the ground in Slimy areas with a Pitchfork,
Slurper Pelt,Crafting Item,40,No,Dropped by Slurper,
Slurtle Slime,Explosive Weapon,20,No,"Dropped by Slurtle, Slurtle Mound and Snurtle",
Small Jerky,Food,40,Yes,"Hang a Morsel, Frog Leg, Fish, or other small meats on a Drying Rack",
Snail Scale,Trinket,40,Yes,Obtained during Hallowed Nights,
Snowbird,Mob,—,Yes,Caught with a Trap,
Snurtle Shell Armor,Armor,—,Yes,Dropped by Snurtle,
Soul,Character-specific Item/Food,20,Yes,Dropped by mobs that die near Wortox,
Spear,Melee Weapon,—,Yes,Crafting,
Spicy Chili,Crock Pot Recipe,40,Yes,Crock Pot Food,
Spider Decoration,Halloween Decoration,40,Yes,Obtained during Hallowed Nights,
Spider Eggs,Plantable,10,Yes,"Craft it while playing as Webber, or dropped by tier 3 Spider Dens and Spider Queens",
Spider Gland,Crafting Item/Healing Item,20,Yes,Dropped by Spiders,
Spiderhat,Dress Item,—,Yes,Dropped by Spider Queens,
Spider Ring,Trinket,40,Yes,Obtained during Hallowed Nights,
Spiky Bush,Plantable,10,Yes,Dug up by Shovel,
Stag Antler,Misc. Item,—,Yes,Dropped by Klaus,
Star Caller's Staff,Staff,—,Yes,Crafting,
Star-Sky,Misc. Item,—,No,Found naturally in the Caves and spawns Hutch,
Steel Wool,Crafting Item,40,Yes,Dropped by Ewecus,
Stinger,Crafting Item,40,Yes,"Dropped by Bee, Killer Bee, Bee Queen and Grumble Bee",
Stone Wall,Wall,20,No,Crafting,
Straw Hat,Hat/Dress Item,—,Yes,Crafting,
Straw Roll,Sleeping Resource/Survival Item,10,Yes,Crafting,
Stuffed Eggplant,Crock Pot Recipe,40,Yes,Crock Pot Food,
Stuffed Pepper Poppers,Crock Pot Recipe,40,Yes,Crock Pot Food,
Succulent,Food,40,Yes,Picking Succulents,
Sugar Cookie,Food/Winter Ornament,40,Yes,Dropped by Mobs during Winter's Feast,
Sulfuric Crystals of Lime,Fuel,20,Yes,Craft it during Hallowed Nights,
Sulfuric Crystals of Saltpeter,Fuel,20,Yes,Craft it during Hallowed Nights,
Summer Frest,Dress Item,—,Yes,Crafting,
Taffy,Crock Pot Recipe,40,Yes,Crock Pot Food,
Tail o' Three Cats,Melee Weapon,—,Yes,Crafting,
Tallbird Egg,Tallbird Young/Food,—,Yes,Stealing from a Tallbird Nest,
Tam o' Shanter,Hat/Dress Item,—,Yes,Dropped by MacTusk,
Telelocator Staff,Staff,—,Yes,Crafting,
Telltale Heart,Survival Item,—,No,Crafting,
Tentacle Decoration,Halloween Decoration,40,Yes,Obtained during Hallowed Nights,
Tentacle Lolli,Food,40,Yes,Giving certain items to the Pig King during Hallowed Nights,
Tentacle Spike,Melee Weapon,—,Yes,Dropped by Tentacle or Big Tentacle,
Tentacle Spots,Crafting Item,40,Yes,Dropped by Tentacle or Big Tentacle,
The End is Nigh!,Character-specific Item/Book,—,Yes,Craft it while playing as Wickerbottom,
The Lazy Explorer,Staff,—,Yes,"Crafting, can be acquired from an Ancient Altar",
The Lazy Forager,Amulet,—,Yes,Crafting,
Thermal Stone,Survival Item,—,Yes,Crafting,
Thick Fur,Crafting Item,10,Yes,Crafting and dropped by Bearger,
Thulecite,Crafting Item,20,No,"Crafting, found in the Ruins",
Thulecite Club,Weapon,—,No,Crafting,
Thulecite Crown,Hat/Armor/Dress Item,—,Yes,Crafting,
Thulecite Fragments,Crafting Item,40,No,Found in the Ruins or in Cave Holes,
Thulecite Medallion,Misc. Item,—,Yes,Crafting,
Thulecite Suit,Hat/Armor/Dress Item,—,Yes,Crafting,
Thulecite Wall,Wall,20,No,Crafting,
Tiny Rocketship,Trinket,40,Yes,Digging up Graves,
Toasted Seeds,Food,40,Yes,Cooking,
Toma Root,Food,40,Yes,Farming,
Tooth Trap,Trap/Weapon,—,Yes,Crafting,
Top Hat,Hat/Dress Item,—,Yes,Crafting,
Torch,Light Source/Weapon,—,Yes,Crafting,
Totally Normal Root,Plantable,20,Yes,Craft it during Hallowed Nights,
Toy Cobra,Trinket,40,Yes,Obtained during Hallowed Nights,
Toy Trojan Horse,Trinket,40,Yes,Digging up Graves,
Trail Mix,Crock Pot Recipe,40,Yes,Crock Pot Food,
Trap,Survival Item/Weapon,—,Yes,Crafting,
Tribute Roast,Food,40,Yes,Craft it during Year of the Pig King,
Trusty Tape,Character-specific Item/Dress Item,40,Yes,Craft it while playing as Winona,
Tumblerful of Psychic Fortitude,Misc. Item,20,Yes,Craft it during Hallowed Nights,
Turkey Dinner,Crock Pot Recipe,40,Yes,Crock Pot Recipe,
Twiggy Tree Cone,Plantable,40,Yes,Chopping down Twiggy Trees,
Twigs,Crafting Item,40,Yes,"Picking a Sapling or Spiky Bush, destroying Merm Heads using a Hammer, chopping down Cave Banana Trees or Spiky Trees, or dropped by Birchnutter",
Umbrella,Survival Item/Weapon,—,Yes,Crafting,
Unagi,Crock Pot Recipe,40,Yes,Crock Pot Food,
Unbalanced Top,Trinket,40,Yes,Digging up Graves,
Vegetable Stinger,Crock Pot Recipe,40,Yes,Crock Pot Food,
Volt Goat Chaud-Froid,Character-specific Item/Crock Pot Recipe,40,Yes,Crock Pot Food,
Volt Goat Horn,Crafting Item,10,Yes,Dropped by Volt Goat,
Walking Cane,Dress Item/Weapon,—,Yes,Crafting,
Waffles,Crock Pot Recipe,40,Yes,Crock Pot Food,
Walrus Tusk,Crafting,10,Yes,Dropped by MacTusk,
War Saddle,Tool,—,Yes,Crafting,
Water Balloon,Survival Item,10,Yes,Crafting,
Watermelon,Food,20,Yes,Farming,
Watermelon Seeds,Crop Seeds/Food/Plantable,20,Yes,Feeding a bird in a Bird Cage,
Wax Paper,Crafting item,40,Yes,Crafting,
Weather Pain,Weapon,—,Yes,Crafting,
Wet Goop,Crock Pot Recipe,40,Yes,"Created by an invalid Crock Pot recipe, or from a Hatching Tallbird Egg that is too cold",
Whirly Fan,Survival item,—,Yes,Crafting,
White Bishop,Trinket,40,Yes,Digging up Graves,
White Knight,Trinket,40,Yes,Digging up Graves,
White Rook,Trinket,40,Yes,Digging up Graves,
Willow's Lighter,Character-specific Item/Light Source,—,Yes,Craft it while playing as Willow,
Winter Hat,Hat/Dress Item,—,Yes,Crafting,
Winter Rabbit,Mob,—,No,Catch with a Trap,
Winter Koalefant Trunk,Food/Crafting Item,20,Yes,Dropped by Winter Koalefant,
Wire Hanger,Trinket,40,Yes,Digging up Graves,
Wood Fence,Wall,20,Yes,Crafting,
Wood Gate,Wall,20,Yes,Crafting,
Wood Wall,Wall,20,Yes,Crafting,
Wooden Flooring,Turf,20,Yes,Crafting,
Yellow Gem,Crafting Item,40,Yes,Mainly found by mining Ancient Statues in the Ruins,
Yellow Moonlens,Misc. Item,—,Yes,Placing a Yellow Gem in a Cratered Moonrock,
